FCCODE,NAME,TOWN,FTC,FVNO,FVDATE,DESCRIP,CREDIT,DEBIT,INVDATE,SHCODE
9999,CASH SALES A/C,,SI,79,01/04/2019,To Credit Sales,0.00,6925.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,80,01/04/2019,To Credit Sales,0.00,733.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,81,01/04/2019,To Credit Sales,0.00,2661.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,82,01/04/2019,To Credit Sales,0.00,1766.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,83,01/04/2019,To Credit Sales,0.00,2385.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,84,01/04/2019,To Credit Sales,0.00,2579.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,85,01/04/2019,To Credit Sales,0.00,9174.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,86,01/04/2019,To Credit Sales,0.00,2340.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,87,01/04/2019,To Credit Sales,0.00,447.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,88,01/04/2019,To Credit Sales,0.00,28675.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,89,01/04/2019,To Credit Sales,0.00,820.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,90,01/04/2019,To Credit Sales,0.00,1455.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,91,01/04/2019,To Credit Sales,0.00,6832.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,92,01/04/2019,To Credit Sales,0.00,2414.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,93,01/04/2019,To Credit Sales,0.00,1825.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,94,01/04/2019,To Credit Sales,0.00,464.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,95,01/04/2019,To Credit Sales,0.00,592.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,96,01/04/2019,To Credit Sales,0.00,1587.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,97,01/04/2019,To Credit Sales,0.00,232.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,98,01/04/2019,To Credit Sales,0.00,1244.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,99,01/04/2019,To Credit Sales,0.00,8618.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,100,01/04/2019,To Credit Sales,0.00,3109.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,101,01/04/2019,To Credit Sales,0.00,1675.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,102,01/04/2019,To Credit Sales,0.00,2692.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,103,01/04/2019,To Credit Sales,0.00,1524.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,104,01/04/2019,To Credit Sales,0.00,2146.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,105,01/04/2019,To Credit Sales,0.00,649.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,106,01/04/2019,To Credit Sales,0.00,602.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,107,01/04/2019,To Credit Sales,0.00,754.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,108,01/04/2019,To Credit Sales,0.00,392.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,109,01/04/2019,To Credit Sales,0.00,7776.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,110,01/04/2019,To Credit Sales,0.00,872.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,111,01/04/2019,To Credit Sales,0.00,1149.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,112,01/04/2019,To Credit Sales,0.00,328.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,113,01/04/2019,To Credit Sales,0.00,1244.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,114,01/04/2019,To Credit Sales,0.00,3528.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,115,01/04/2019,To Credit Sales,0.00,3970.00,01/04/2019,A005
9999,CASH SALES A/C,,SI,116,02/04/2019,To Credit Sales,0.00,959.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,117,02/04/2019,To Credit Sales,0.00,506.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,118,02/04/2019,To Credit Sales,0.00,6550.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,119,02/04/2019,To Credit Sales,0.00,1336.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,120,02/04/2019,To Credit Sales,0.00,1529.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,121,02/04/2019,To Credit Sales,0.00,324.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,122,02/04/2019,To Credit Sales,0.00,1617.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,123,02/04/2019,To Credit Sales,0.00,316.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,124,02/04/2019,To Credit Sales,0.00,1383.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,125,02/04/2019,To Credit Sales,0.00,1931.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,126,02/04/2019,To Credit Sales,0.00,237.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,127,02/04/2019,To Credit Sales,0.00,903.00,02/04/2019,A005
